Epoch, Accuracy, Loss
1,53.32592592592592,1.3437105417251587
2,59.65462962962963,1.297236442565918
3,63.43518518518518,1.257493019104004
4,66.08981481481482,1.226235032081604
5,68.57314814814815,1.196948766708374
6,70.25277777777778,1.1722506284713745
7,71.52777777777779,1.1511023044586182
8,72.48240740740741,1.1314706802368164
9,73.3212962962963,1.1140884160995483
10,73.96018518518518,1.1001732349395752
11,74.34537037037036,1.0883393287658691
12,74.82592592592593,1.0777394771575928
13,75.21574074074074,1.0676709413528442
14,75.44166666666666,1.05918288230896
15,75.69444444444444,1.0514345169067383
16,75.88148148148149,1.0446486473083496
17,76.05185185185185,1.0385308265686035
18,76.34444444444445,1.0319899320602417
19,76.4,1.02805495262146
20,76.57222222222222,1.022660493850708
21,76.76851851851852,1.017805814743042
22,76.82592592592592,1.0144410133361816
23,76.92962962962963,1.010040521621704
24,77.09537037037036,1.0065014362335205
25,77.17777777777778,1.0029780864715576
26,77.26759259259259,1.000389814376831
27,77.31944444444444,0.997368335723877
28,77.46018518518518,0.994515061378479
29,77.54629629629629,0.9920495748519897
30,77.50462962962963,0.9902693033218384
31,77.66018518518518,0.9873812198638916
32,77.64166666666667,0.98565673828125
33,77.7425925925926,0.9835320711135864
34,77.80092592592592,0.9817100763320923
35,77.84537037037038,0.9800782203674316
36,77.82685185185186,0.9792634844779968
37,77.92962962962963,0.9771757125854492
38,77.99351851851851,0.9755808115005493
39,78.05462962962963,0.9740359783172607
40,78.07685185185184,0.9728004336357117
41,78.11111111111111,0.9715343713760376
42,78.1675925925926,0.9701000452041626
43,78.225,0.9685547947883606
44,78.29537037037036,0.9671201705932617
45,78.29166666666667,0.9662371873855591
46,78.28518518518518,0.9655247926712036
47,78.36851851851851,0.9642626047134399
48,78.39351851851852,0.9631457924842834
49,78.3861111111111,0.9625842571258545
50,78.39444444444445,0.9616926312446594
51,78.475,0.960460364818573
52,78.47222222222221,0.9597046375274658
53,78.51296296296296,0.9592176079750061
54,78.46296296296296,0.9590907096862793
55,78.54907407407407,0.9579050540924072
56,78.56944444444444,0.9571751952171326
57,78.5074074074074,0.9569367170333862
58,78.55555555555556,0.9561105370521545
59,78.54166666666667,0.9558126926422119
60,78.58055555555555,0.9550930261611938
61,78.59074074074074,0.9543660879135132
62,78.6037037037037,0.9539169073104858
63,78.6462962962963,0.9533545970916748
64,78.59907407407407,0.9531522989273071
65,78.64444444444445,0.9528319835662842
66,78.64351851851852,0.9524009227752686
67,78.6212962962963,0.9522485136985779
68,78.63796296296296,0.951666533946991
69,78.66944444444445,0.9515063762664795
70,78.70925925925926,0.9508263468742371
71,78.69722222222222,0.9504066109657288
72,78.71481481481482,0.9503286480903625
73,78.69074074074074,0.9500292539596558
74,78.71574074074074,0.949999988079071
75,78.73240740740741,0.9494572877883911
76,78.74907407407407,0.9489859342575073
77,78.75,0.948723554611206
78,78.7398148148148,0.9488518238067627
79,78.75462962962962,0.9485639333724976
80,78.76851851851852,0.9482958316802979
81,78.77407407407408,0.947968065738678
82,78.78425925925926,0.947716474533081
83,78.76574074074074,0.9479529857635498
84,78.78518518518518,0.9477047920227051
85,78.77314814814814,0.9476897716522217
86,78.7824074074074,0.9475980401039124
87,78.77222222222223,0.947227954864502
88,78.7824074074074,0.9473172426223755
89,78.7787037037037,0.9472059011459351
90,78.78981481481482,0.9471033811569214
91,78.77962962962964,0.9470385313034058
92,78.8037037037037,0.9467642307281494
93,78.77962962962964,0.9468462467193604
94,78.79166666666667,0.9468376636505127
95,78.79537037037036,0.9467289447784424
96,78.7824074074074,0.9467355608940125
97,78.79074074074074,0.9467149972915649
98,78.7787037037037,0.9467604160308838
99,78.78055555555555,0.946821391582489
100,78.77962962962964,0.9468331336975098
