Epoch, Accuracy, Loss
1,83.0,1.0011391639709473
2,85.38703703703703,0.9609083533287048
3,86.83703703703704,0.9334525465965271
4,87.7824074074074,0.9110358357429504
5,88.43888888888888,0.8956642150878906
6,88.91296296296296,0.8850398659706116
7,89.32592592592592,0.8782329559326172
8,89.60000000000001,0.873676061630249
9,89.79907407407407,0.8705661296844482
10,89.96944444444445,0.8680258989334106
11,90.11018518518519,0.8660517930984497
12,90.26574074074074,0.864788293838501
13,90.36111111111111,0.8631747364997864
14,90.47037037037036,0.8630791902542114
15,90.53055555555557,0.8608203530311584
16,90.60925925925926,0.8600632548332214
17,90.70833333333333,0.8598002195358276
18,90.76666666666667,0.8586170673370361
19,90.81666666666666,0.8572782278060913
20,90.87314814814815,0.8568971157073975
21,90.92685185185185,0.8560241460800171
22,90.97407407407407,0.8557226657867432
23,91.01759259259259,0.8544756174087524
24,91.0712962962963,0.8537282943725586
25,91.10092592592592,0.8520177006721497
26,91.15185185185184,0.8507508039474487
27,91.19074074074074,0.8512442111968994
28,91.23055555555555,0.8505454063415527
29,91.27777777777779,0.8506507873535156
30,91.3037037037037,0.8493049740791321
31,91.33425925925926,0.8484275341033936
32,91.36018518518519,0.8477398157119751
33,91.38796296296296,0.8473603129386902
34,91.41481481481482,0.8460798263549805
35,91.44537037037037,0.8437944650650024
36,91.46851851851852,0.843832790851593
37,91.48703703703703,0.8426018953323364
38,91.51666666666667,0.8423255681991577
39,91.53888888888889,0.842927873134613
40,91.56851851851852,0.841353178024292
41,91.5925925925926,0.8409693241119385
42,91.61388888888888,0.8407885432243347
43,91.625,0.838262140750885
44,91.65555555555555,0.8388574719429016
45,91.66388888888889,0.8390968441963196
46,91.69166666666666,0.8378353714942932
47,91.70185185185184,0.8373306393623352
48,91.73055555555555,0.8360803127288818
49,91.72962962962963,0.8371843099594116
50,91.74259259259259,0.836936354637146
51,91.75555555555556,0.8365784287452698
52,91.77037037037037,0.8363213539123535
53,91.78518518518518,0.8355013132095337
54,91.80277777777778,0.8347783088684082
55,91.81481481481481,0.8353080749511719
56,91.83333333333333,0.8349977731704712
57,91.85,0.8347637057304382
58,91.86944444444445,0.8345283269882202
59,91.88240740740741,0.8338583707809448
60,91.9,0.8331804871559143
61,91.91018518518518,0.8332846164703369
62,91.91944444444444,0.8333181142807007
63,91.91481481481482,0.8322162628173828
64,91.9388888888889,0.8325059413909912
65,91.95277777777777,0.8324707746505737
66,91.95185185185186,0.832897961139679
67,91.97129629629629,0.8330278396606445
68,91.98148148148148,0.8325767517089844
69,91.98796296296297,0.8318596482276917
70,91.98981481481482,0.8305048942565918
71,91.99537037037037,0.8311177492141724
72,92.00555555555555,0.8312397003173828
73,92.0111111111111,0.8308223485946655
74,92.02222222222221,0.8307563662528992
75,92.03518518518518,0.8310228586196899
76,92.02962962962962,0.8304355144500732
77,92.03148148148148,0.8298342227935791
78,92.04351851851852,0.8294721245765686
79,92.05277777777778,0.829696774482727
80,92.05462962962963,0.8294227123260498
81,92.06296296296296,0.8295233249664307
82,92.06759259259259,0.8295683860778809
83,92.06944444444444,0.8297848701477051
84,92.07499999999999,0.8295953273773193
85,92.07777777777778,0.8294039964675903
86,92.07499999999999,0.8292152881622314
87,92.07777777777778,0.8293618559837341
88,92.08333333333333,0.8293732404708862
89,92.08518518518518,0.829474687576294
90,92.08425925925926,0.8295537829399109
91,92.08518518518518,0.8294864296913147
92,92.08703703703704,0.8294706344604492
93,92.08796296296296,0.8293402791023254
94,92.08333333333333,0.8292387127876282
95,92.08703703703704,0.8292801976203918
96,92.08796296296296,0.8292669057846069
97,92.08796296296296,0.8292608261108398
98,92.08703703703704,0.8292642831802368
99,92.08703703703704,0.8292585611343384
100,92.08703703703704,0.8292579650878906
